0	-0.06
1440	0.03
2880	0.08
4320	0.08
5760	0.05
7200	0.06
8640	-0.06
10080	-0.12
11520	-0.3
12960	-0.25
14400	-0.28
15840	-0.23
17280	-0.15
18720	-0.12
20160	-0.11
21600	-0.13
23040	-0.08
24480	-0.03
25920	-0.04
27360	-0.13
28800	-0.2
30240	-0.25
31680	-0.23
33120	-0.23
34560	-0.24
36000	-0.18
37440	-0.15
38880	-0.08
40320	-0.05
41760	-0.06
43200	-0.04
44640	-0.07
46080	0.1
47520	0.03
48960	-0.14
50400	-0.38
51840	-0.3
53280	-0.31
54720	-0.37
56160	-0.18
57600	-0.03
59040	0.12
60480	-0.03
61920	0.11
63360	0.14
64800	0.14
66240	0.09
67680	0.01
69120	0
70560	-0.04
72000	-0.15
73440	-0.11
74880	-0.16
76320	-0.15
77760	-0.11
79200	-0.03
80640	0.06
82080	0.2
83520	0.24
84960	0.1
86400	0.05
87840	-0.04
89280	0.02
90720	0
92160	-0.12
93600	-0.09
95040	-0.09
96480	-0.08
97920	-0.01
99360	0.08
100800	0.08
102240	0.18
103680	0.25
105120	0.24
106560	0.17
108000	0.1
109440	0.1
110880	0.09
112320	0.03
113760	0.03
115200	0.01
116640	0.11
118080	0.2
119520	0.26
120960	0.38
122400	0.53
123840	0.64
125280	0.3
126720	0.31
128160	0.35
129600	0.23
131040	0.33
132480	0.13
133920	0.1
135360	0.15
136800	0.06
138240	0.02
139680	0.1
141120	0.16
142560	0.39
144000	0.29
145440	0.41
146880	0.37
148320	0.29
149760	0.19
151200	0.15
152640	0.27
154080	0.22
155520	0.23
156960	0.09
158400	0.16
159840	0.13
161280	0.14
162720	0.26
165600	0.43
167040	0.46
168480	0.38
169920	0.28
171360	0.27
172800	0.15
174240	0.12
175680	0.22
177120	0.17
178560	0.21
180000	0.23
181440	0.27
182880	0.33
184320	0.39
185760	0.28
187200	0.32
188640	0.19
190080	0.22
191520	0.28
192960	0.16
194400	0.2
195840	0.26
197280	0.29
198720	0.39
200160	0.42
201600	0.5
203040	0.6
204480	0.75
205920	0.67
207360	0.62
208800	0.6
210240	0.44
211680	0.4
213120	0.26
214560	0.22
216000	0.19
217440	0.22
218880	0.29
220320	0.35
221760	0.44
223200	0.43
224640	0.44
226080	0.45
227520	0.43
228960	0.41
230400	0.35
231840	0.33
233280	0.27
234720	0.22
236160	0.18
237600	0.23
239040	0.22
