time	fLOW FROM 14
10980	0.080211563
10995	0.075279698
11010	0.07172266
11025	0.068171472
11040	0.064625402
11055	0.061625073
11070	0.058766288
11085	0.056209872
11100	0.053726343
11115	0.051325397
11130	0.048898236
11145	0.046458083
11160	0.044358324
11175	0.04234286
11190	0.040916492
11205	0.039579945
11220	0.03820851
11235	0.036832239
11250	0.035218696
11265	0.033555583
11280	0.032097194
11295	0.030728341
11310	0.029571973
11325	0.028641432
11340	0.027789481
11355	0.027243079
11370	0.026696677
11385	0.02567439
11400	0.02458111
11415	0.023589269
11430	0.02272446
11445	0.021859651
11460	0.021208014
11475	0.02057295
11490	0.020028368
11505	0.019664602
11520	0.019300838
11535	0.018799515
11550	0.018231591
11565	0.017663666
11580	0.017071779
11595	0.016477941
11610	0.015894746
11625	0.015451648
11640	0.01500855
11655	0.014585343
11670	0.014305974
11685	0.014026605
11700	0.013740972
11715	0.013392685
11730	0.013044399
11745	0.012696113
11760	0.012351549
11775	0.012007152
11790	0.011662755
11805	0.011347866
11820	0.011044995
11835	0.010742126
11850	0.010475296
11865	0.010275621
11880	0.010075945
11895	0.00987627
11910	0.009640875
11925	0.00940094
11940	0.009161004
11955	0.008942164
11970	0.00877295
11985	0.008603736
12000	0.008434521
12015	0.008249551
12030	0.008053998
12045	0.007858445
12060	0.007662891
12075	0.00751265
12090	0.007376195
12105	0.00723974
12120	0.007103285
12135	0.006943114
12150	0.006777487
12165	0.006611861
12180	0.006446235
12195	0.00631728
12210	0.006203496
12225	0.006089712
12240	0.005975928
12255	0.005873759
12270	0.005785044
12285	0.005696328
12300	0.005607613
12315	0.005518449
12330	0.00542517
12345	0.00533189
12360	0.00523861
12375	0.00514533
12390	0.005042151
12405	0.004932096
12420	0.00482204
12435	0.004711986
12450	0.004601931
12465	0.004519448
12480	0.004440023
12495	0.004360598
12510	0.004281172
12525	0.004202985
12540	0.004151044
12555	0.004099102
12570	0.00404716
12585	0.003995218
12600	0.003943449
12615	0.003894815
12630	0.003846181
12645	0.003797547
12660	0.003748913
12675	0.003700279
12690	0.003631123
12705	0.003560039
12720	0.003488954
12735	0.00341787
12750	0.003346785
12765	0.003286128
12780	0.00323343
12795	0.003180731
12810	0.003128033
12825	0.003075333
12840	0.003023097
12855	0.002986938
12870	0.002950779
12885	0.00291462
12900	0.002878461
12915	0.002842302
12930	0.002810828
12945	0.002789187
12960	0.002767545
12975	0.002745903
12990	0.002724261
13005	0.002702619
13020	0.002715815
13035	0.002766498
13050	0.002817179
13065	0.002867862
13080	0.002918544
13095	0.002969226
13110	0.003274021
13125	0.003649088
13140	0.004024155
13155	0.004399222
13170	0.00477429
13185	0.005164994
13200	0.005557189
13215	0.005949384
13230	0.006341579
13245	0.015079715
13260	0.029988052
13275	0.056277138
13290	0.102813055
13305	0.226694174
13320	0.420288196
13335	0.611844124
13350	0.854606641
