0	5.980176
86400	6.208776
172800	6.419088
259200	6.748272
345600	7.05612
432000	7.34568
518400	7.6962
604800	7.991856
691200	8.119872
777600	8.189976
864000	8.16864
950400	8.055864
1036800	7.87908
1123200	7.671816
1209600	7.504176
1296000	7.382256
1382400	7.290816
1468800	7.245096
1555200	7.257288
1641600	7.318248
1728000	7.3152
1814400	7.3152
1900800	7.171944
1987200	6.885432
2073600	6.501384
2160000	6.03504
2246400	5.559552
2332800	5.126736
2419200	4.69392
2505600	4.32816
2592000	4.087368
2678400	4.020312
2764800	4.136136
2851200	4.111752
2937600	4.078224
3024000	3.968496
3110400	3.974592
3196800	4.294632
3283200	4.67868
3369600	5.053584
3456000	5.388864
3542400	5.492496
3628800	5.337048
3715200	5.145024
3801600	5.141976
3888000	5.315712
3974400	5.388864
4060800	5.50164
4147200	5.666232
4233600	5.900928
4320000	6.18744
4406400	6.4008
4492800	6.681216
4579200	6.909816
4665600	7.046976
4752000	7.171944
4838400	7.235952
4924800	7.251192
5011200	7.242048
5097600	7.077456
5184000	6.915912
5270400	6.757416
5356800	6.574536
5443200	6.358128
5529600	6.190488
5616000	6.105144
5702400	6.022848
5788800	5.986272
5875200	5.940552
5961600	5.900928
6048000	5.800344
6134400	5.693664
6220800	5.660136
6307200	5.751576
6393600	5.8674
6480000	6.056376
6566400	6.23316
6652800	6.43128
6739200	6.64464
6825600	6.84276
6912000	7.02564
6998400	7.257288
7084800	7.434072
7171200	7.562088
7257600	7.744968
7344000	8.058912
7430400	8.388096
7516800	8.403336
7603200	8.314944
7689600	8.333232
7776000	8.287512
7862400	8.278368
7948800	8.269224
8035200	8.2296
8121600	8.253984
8208000	8.33628
8294400	8.394192
8380800	8.497824
8467200	8.601456
8553600	8.695944
8640000	8.769096
8726400	8.781288
8812800	8.909304
8899200	8.942832
8985600	8.927592
9072000	8.918448
9158400	8.894064
9244800	8.970264
9331200	9.025128
9417600	9.028176
9504000	9.028176
9590400	9.043416
9676800	9.025128
9763200	9.015984
9849600	9.03732
9936000	9.012936
10022400	9.009888
10108800	9.012936
10195200	8.982456
10281600	8.955024
10368000	8.939784
10454400	8.881872
10540800	8.817864
10627200	8.8392
10713600	8.8392
10800000	8.891016
10886400	9.009888
10972800	9.12876
11059200	9.2964
11145600	9.445752
11232000	9.63168
11318400	9.826752
11404800	9.963912
11491200	10.19556
11577600	10.3632
11664000	10.603992
11750400	10.77468
11836800	10.963656
11923200	11.09472
12009600	11.241024
12096000	11.41476
12182400	11.564112
12268800	11.7348
12355200	11.84148
12441600	11.865864
12528000	11.905488
12614400	11.954256
12700800	12.02436
12787200	12.094464
12873600	12.137136
12960000	12.182856
13046400	12.204192
13132800	12.17676
13219200	12.094464
13305600	11.97864
13392000	11.884152
13478400	11.759184
13564800	11.62812
13651200	11.466576
13737600	11.286744
13824000	11.088624
13910400	10.917936
13996800	10.671048
14083200	10.45464
14169600	10.253472
14256000	10.01268
14342400	9.762744
14428800	9.476232
14515200	9.226296
14601600	9.055608
14688000	8.894064
14774400	8.77824
14860800	8.70204
14947200	8.522208
15033600	8.531352
15120000	8.497824
15206400	8.470392
15292800	8.452104
15379200	8.418576
15465600	8.391144
15552000	8.375904
15638400	8.314944
15724800	8.26008
15811200	8.159496
15897600	8.01624
15984000	7.857744
16070400	7.632192
16156800	7.385304
16243200	7.013448
16329600	6.601968
16416000	6.160008
16502400	5.721096
16588800	5.30352
16675200	4.989576
16761600	4.767072
16848000	4.75488
16934400	4.489704
17020800	4.334256
17107200	4.197096
17193600	4.090416
17280000	4.029456
17366400	3.90144
17452800	3.828288
17539200	3.87096
17625600	3.965448
17712000	4.029456
17798400	4.056888
17884800	4.059936
17971200	4.017264
18057600	3.910584
18144000	3.849624
18230400	3.980688
18316800	4.120896
18403200	4.288536
18489600	4.407408
18576000	4.517136
18662400	4.623816
18748800	4.687824
18835200	4.791456
18921600	4.940808
19008000	5.193792
19094400	5.39496
19180800	5.480304
19267200	5.51688
19353600	5.510784
19440000	5.483352
19526400	5.401056
19612800	5.233416
19699200	4.940808
19785600	4.614672
19872000	4.276344
19958400	3.974592
20044800	3.7338
20131200	3.569208
20217600	3.493008
20304000	3.483864
20390400	3.441192
20476800	3.32232
20563200	3.194304
20649600	3.163824
20736000	3.166872
20822400	3.279648
20908800	3.346704
20995200	3.407664
21081600	3.416808
21168000	3.300984
21254400	3.218688
21340800	3.105912
21427200	2.88036
21513600	2.813304
21600000	2.8194
21686400	2.88036
21772800	2.916936
21859200	3.112008
21945600	3.349752
22032000	3.224784
22118400	3.136392
22204800	3.096768
22291200	3.09372
22377600	3.133344
22464000	3.182112
22550400	3.206496
22636800	3.310128
22723200	3.47472
22809600	3.639312
22896000	3.87096
22982400	3.971544
23068800	4.142232
23155200	4.17576
23241600	4.184904
23328000	4.361688
23414400	4.553712
23500800	4.687824
23587200	4.742688
23673600	4.849368
23760000	4.757928
23846400	4.742688
23932800	4.995672
24019200	5.230368
24105600	5.550408
24192000	5.77596
24278400	5.85216
24364800	5.861304
24451200	5.839968
24537600	5.736336
24624000	5.626608
24710400	5.74548
24796800	6.236208
24883200	6.952488
24969600	7.479792
25056000	7.943088
25142400	8.308848
25228800	8.586216
25315200	8.814816
25401600	8.970264
25488000	9.073896
25574400	9.000744
25660800	8.942832
25747200	8.8392
25833600	8.805672
25920000	8.74776
26006400	8.735568
26092800	8.692896
26179200	8.759952
26265600	8.799576
26352000	8.924544
26438400	9.107424
26524800	9.272016
26611200	9.451848
26697600	9.625584
26784000	9.741408
26870400	9.902952
